ID,ASK,COUNT,CREATED,MAX,MEAN,MEDIAN,MIN,STANDARDDEVIATION,SUM,VARIANCE
6202,0,50,1498680519984,52074.2672249131,5123.4263084647,738.5932931297,0.2482,10586.6266654443,256171.315423233,112076664.153495
6332,0,50,1498680531988,52074.2672249131,5202.6669800364,738.5932931297,0.2482,10582.0417113225,260133.349001819,111979606.780169
5942,0,50,1498680497533,52074.2672249131,4347.9860110995,287.774927458,0.2482,10003.7241115954,217399.300554976,100074496.100915
2559,1,50,1498680185716,52615.4253779639,4163.3332550195,157.820738891,0.275839368,9970.4605588527,208166.662750976,99410083.7556378
7762,0,50,1498680661762,52074.2672249131,4754.4674798659,738.5932931297,0.2482,9914.6945721869,237723.373993296,98301168.4597516
7632,0,50,1498680650578,52074.2672249131,4910.4200988349,917.5424671524,0.2482,9909.0999640104,245521.004941745,98190262.0967517
7242,0,50,1498680614076,52074.2672249131,4799.3273756488,917.5424671524,0.2482,9901.6213488317,239966.36878244,98042105.3356387
6982,0,50,1498680589599,52074.2672249131,4777.5328755083,917.5424671524,0.2482,9899.9607911691,238876.643775416,98009223.6666857
6462,0,50,1498680543273,52074.2672249131,4719.4464640391,657.238231735,0.2482,9895.4401042096,235972.323201955,97919734.8559994
6073,0,50,1498680508873,52074.2672249131,4584.3179400629,738.5932931297,0.24855,9885.4330090005,229215.897003143,97721785.7754368
7112,0,50,1498680602467,52074.2672249131,4758.3610054793,1165.1054653125,0.2482,9875.7189461627,237918.050273967,97529824.7035975
2563,1,50,1498680197922,52615.4253779639,4181.1951975749,201.4999042672,0.2517,9806.1854354321,209059.759878742,96161272.7940808
2693,1,50,1498680209531,52615.4253779639,4179.4100335892,201.4999042672,0.2517,9765.5454093608,208970.50167946,95365877.1422877
2823,1,50,1498680221433,52615.4253779639,4179.5523275415,201.4999042672,0.2517,9765.5288593014,208977.616377077,95365553.9018478
2953,1,50,1498680233032,52615.4253779639,4142.5642912159,248.8239322423,0.2517,9634.5199014556,207128.214560797,92823973.7315435
3083,1,50,1498680244706,52615.4253779639,3975.7627374394,201.4999042672,0.2517,9591.7540696234,198788.136871971,92001746.1321366
4123,1,50,1498680336259,52615.4253779639,3773.8135662059,93.602043202,0.2517,9531.8937685795,188690.678310297,90856998.8154851
3993,1,50,1498680325024,52615.4253779639,3641.1586941442,93.602043202,0.2517,9488.4517410961,182057.934707208,90030716.4431103
4253,1,50,1498680348309,52615.4253779639,3737.8651095462,97.8220346967,0.2517,9468.7520654638,186893.25547731,89657265.6772239
4383,1,50,1498680359698,52615.4253779639,3574.3164494462,93.602043202,0.2517,9464.1170474299,178715.822472308,89569511.4874529
3863,1,50,1498680314005,52615.4253779639,3895.2445331525,97.8220346967,0.2517,9425.1700597998,194762.226657625,88833830.6561466
3213,1,50,1498680256079,52615.4253779639,4104.9213721832,234.0809635049,0.2517,9256.2101516481,205246.068609161,85677426.3714731
3603,1,50,1498680290770,52615.4253779639,4109.888606052,234.0809635049,0.2517,9221.30307106,205494.430302599,85032430.3283409
6852,0,50,1498680577306,52074.2672249131,3947.3470486511,513.299283961,0.2482,9205.0960706641,197367.352432554,84733793.670156
6592,0,50,1498680554622,52074.2672249131,3641.6115858788,249.8566005295,0.2482,9185.7582210843,182080.579293941,84378154.0962181
6722,0,50,1498680566008,52074.2672249131,3839.5708881762,412.7983067695,0.2482,9160.1142753473,191978.544408811,83907693.5374218
4513,1,50,1498680370987,50196.3230227996,3802.3030364115,97.8220346967,0.2517,9153.0296432902,190115.151820576,83777951.6509499
4643,1,50,1498680383030,50196.3230227996,3769.7475664098,97.8220346967,0.2517,9042.0284218624,188487.378320489,81758277.9817666
3343,1,50,1498680267801,52615.4253779639,4058.8882258154,234.0809635049,0.2517,8919.9480837106,202944.41129077,79565473.8160918
3473,1,50,1498680279227,52615.4253779639,3998.4373367096,234.0809635049,0.2517,8818.0436302301,199921.866835481,77757893.4646408
7373,0,50,1498680626885,52074.2672249131,4171.2481480396,917.5424671524,0.2482,8650.8588436584,208562.407401981,74837358.732903
7502,0,50,1498680639519,52074.2672249131,4171.1530433653,917.5424671524,0.2482,8650.8494634595,208557.652168262,74837196.4394382
3857,1,50,1498680302620,52615.4253779639,3484.0030246909,97.8220346967,0.2517,8335.541855819,174200.151234546,69481258.0301104
6853,1,50,1498680577306,33351.4738778069,4500.5946211392,580.1935311486,0.2047947155,7827.7684460761,225029.73105696,61273958.8453841
6983,1,50,1498680589599,33351.4738778069,4341.5090699549,360.9647783886,0.2047947155,7717.9271215436,217075.453497746,59566399.0534583
2822,0,50,1498680221433,38674.2612021264,5002.98910315,738.5932931297,0.24855,7677.5282413283,250149.455157501,58944439.8963929
3602,0,50,1498680290770,38674.2612021264,4899.0912312935,995.4370018399,0.24855,7667.917204539,244954.561564674,58796954.2556644
5162,0,50,1498680427462,38674.2612021264,4180.2331266465,701.1042525984,0.6999657015,7649.2613829816,209011.656332326,58511199.7051732
5033,0,50,1498680416312,38674.2612021264,3809.6679492608,516.5074007638,0.6999657015,7622.3970497163,190483.397463039,58100936.783524
4773,1,50,1498680394124,46956.0393113867,3202.2112451647,97.8220346967,0.2517,7617.7561140809,160110.562258236,58030208.2136174
3862,0,50,1498680314005,38674.2612021264,4764.8393537529,1316.3771809573,0.6999657015,7535.1776277069,238241.967687645,56778901.8810949
3856,0,50,1498680302620,38674.2612021264,4518.4197333004,755.6849447349,0.6999657015,7528.6643044486,225920.986665021,56680786.209079
5552,0,50,1498680462302,38674.2612021264,3548.7554457264,287.774927458,0.2482,7503.7003283537,177437.772286322,56305518.6177349
5292,0,50,1498680438969,38674.2612021264,3750.3150665085,322.2899908581,0.6999657015,7476.2970035721,187515.753325424,55895016.8856217
5422,0,50,1498680450543,38674.2612021264,3547.0161623367,322.2899908581,0.6999657015,7476.1387631474,177350.808116833,55892650.8058358
5682,0,50,1498680474663,38674.2612021264,3519.4463558775,287.774927458,0.2482,7461.1201729917,175972.317793876,55668314.2358238
7243,1,50,1498680614076,33351.4738778069,3443.564969038,246.1580305362,0.2047947155,7403.9870243546,172178.248451901,54819023.8568109
4252,0,50,1498680348309,38674.2612021264,3756.8909051925,496.4518942046,0.6999657015,7382.0758315855,187844.545259623,54495043.5832781
3992,0,50,1498680325024,38674.2612021264,4167.4908883255,738.5932931297,0.6999657015,7375.1838908627,208374.544416274,54393337.4240401
4382,0,50,1498680359698,38674.2612021264,3765.8635294651,515.5003274039,0.6999657015,7374.0091127202,188293.176473254,54376010.3944803
4122,0,50,1498680336259,38674.2612021264,3680.0918547666,655.1419822403,0.6999657015,7299.9194632488,184004.592738328,53288824.1699186
4512,0,50,1498680370987,38674.2612021264,3945.6646326493,655.1419822403,0.6999657015,7292.6038142235,197283.231632465,53182070.3912271
7113,1,50,1498680602467,33351.4738778069,3845.5892444187,370.9213770585,0.2047947155,7288.0417202233,192279.462220935,53115552.1157156
5812,0,50,1498680486218,38674.2612021264,3501.7211843675,426.097610417,0.2482,7262.246995595,175086.059218377,52740231.4250279
4910,1,50,1498680405211,35641.7284057835,3533.9274168505,110.9885233847,0.2517,7257.9922295607,176696.370842526,52678451.2043634
4642,0,50,1498680383030,38674.2612021264,3773.2923913003,516.4916505238,0.6999610961,7218.2637904669,188664.619565015,52103332.1487648
4772,0,50,1498680394124,38674.2612021264,3801.9753865881,655.1419822403,0.6999657015,7195.4245585205,190098.769329404,51774134.57736
5034,1,50,1498680416312,34937.0099339652,3499.3077877429,110.9885233847,0.2517,7124.6425742316,174965.389387145,50760531.8105535
4905,0,50,1498680405211,38674.2612021264,3795.7727964162,655.1419822403,0.6999657015,7120.8828757235,189788.639820808,50706972.9297725
5293,1,50,1498680438969,34937.0099339652,3528.6489982232,176.7638818566,0.2517,7113.2296332065,176432.449911157,50598035.8147273
5163,1,50,1498680427462,34937.0099339652,3340.8764954512,110.9885233847,0.2517,7105.5719000385,167043.82477256,50489152.0266164
3082,0,50,1498680244706,38674.2612021264,4474.0189476528,701.1042525984,0.24855,7051.5302582186,223700.947382638,49724078.9825725
2952,0,50,1498680233032,38674.2612021264,4508.9714423791,738.5932931297,0.24855,7042.3399508532,225448.572118955,49594551.983383
3342,0,50,1498680267801,38674.2612021264,4694.0121237691,1166.1054653125,0.24855,7039.3141409575,234700.606188456,49551943.5750838
3212,0,50,1498680256079,38674.2612021264,4479.6835166955,917.5424671524,0.24855,7002.4186851236,223984.175834776,49033867.441768
5423,1,50,1498680450543,33889.6033592472,3597.8556737521,234.0809635049,0.2517,7001.1518245454,179892.783687605,49016126.8703349
6594,1,50,1498680554622,33351.4738778069,3593.5639024311,284.8878128961,0.2047947155,7000.1861857795,179678.195121554,49002606.6355778
6723,1,50,1498680566008,33351.4738778069,3771.3794171492,418.1997334671,0.2047947155,6976.8509793083,188568.970857461,48676449.5874755
5553,1,50,1498680462302,33351.4738778069,3626.0313211711,246.7478155362,0.2047947155,6941.1753953212,181301.566058555,48179915.8686117
5683,1,50,1498680474663,33351.4738778069,3657.5070732726,251.6297608915,0.2047947155,6817.9631636235,182875.35366363,46484621.7005271
5943,1,50,1498680497533,33351.4738778069,3813.2774340854,287.414607365,0.2047947155,6766.8852602794,190663.871704271,45790736.1257866
6072,1,50,1498680508873,33351.4738778069,3828.7785095592,590.1501298185,0.2047947155,6728.7671576612,191438.925477958,45276307.4620201
6463,1,50,1498680543273,33351.4738778069,3492.9261787796,254.0130871061,0.2047947155,6727.1567967691,174646.30893898,45254638.5683164
7633,1,50,1498680650578,33351.4738778069,3269.2943197625,251.442380437,0.2047947155,6723.5808945007,163464.715988123,45206540.0448944
3472,0,50,1498680279227,38674.2612021264,4352.5565173155,738.5932931297,0.24855,6710.8381465204,217627.825865774,45035348.6287928
6333,1,50,1498680531988,33351.4738778069,3754.1852328619,418.1997334671,0.2047947155,6638.351154109,187709.261643096,44067706.0452602
6203,1,50,1498680519984,33351.4738778069,3571.572761267,418.1997334671,0.2047947155,6620.3887874368,178578.638063349,43829547.696819
7763,1,50,1498680661762,33351.4738778069,3428.621514702,370.9213770585,0.2047947155,6560.7962746082,171431.0757351,43044047.7569132
2692,0,50,1498680209531,26200.2260708,4389.6942410271,917.5424671524,0.24855,5887.2590897051,219484.712051355,34659819.5893158
5813,1,50,1498680486218,33351.4738778069,2977.6930159919,254.0130871061,0.2047947155,5751.3339146501,148884.650799596,33077841.7978049
7503,1,50,1498680639519,33351.4738778069,2444.5103552848,207.6319794751,0.2047947155,5558.3700155982,122225.51776424,30895477.2303011
7372,1,50,1498680626885,33351.4738778069,2381.249800836,207.6319794751,0.2047947155,5503.5435053943,119062.490041802,30288991.1157675
2562,0,50,1498680197922,22944.0257869728,3746.3062984519,701.1042525984,0.24855,5094.2336196831,187315.314922597,25951216.1719093
2560,0,50,1498680185716,22944.0257869728,3665.2492744111,701.1042525984,0.24855,5069.9091645822,183262.463720557,25703978.937115
